	timepoint	replicate_id	treatment
P3C10	8	1	sc
P3C11	8	1	sc
P3C12	8	1	sc
P3C2	8	1	sc
P3C3	8	1	sc
P3C4	8	1	sc
P3C5	8	1	sc
P3C6	8	1	sc
P3C7	8	1	sc
P3C8	8	1	sc
P3C9	8	1	sc
P3D1	8	1	sc
P3D10	8	1	sc
P3D11	8	1	sc
P3D12	8	1	sc
P3D2	8	1	sc
P3D3	8	1	sc
P3D4	8	1	sc
P3D5	8	1	sc
P3D6	8	1	sc
P3D7	8	1	sc
P3D8	8	1	sc
P3D9	8	1	sc
P3E1	8	1	sc
P3E10	8	1	sc
P3E11	8	1	sc
P3E12	8	1	sc
P3E2	8	1	sc
P3E3	8	1	sc
P3E4	8	1	sc
P3E5	8	1	sc
P3E6	8	1	sc
P3E7	8	1	sc
P3E8	8	1	sc
P3E9	8	1	sc
P3F1	8	1	sc
P3F10	8	1	sc
P3F11	8	1	sc
P3F12	8	1	sc
P3F2	8	1	sc
P3F3	8	1	sc
P3F4	8	1	sc
P3F5	8	1	sc
P3F6	8	1	sc
P3F7	8	1	sc
P3F8	8	1	sc
P3F9	8	1	sc
P3G1	8	1	sc
P3G10	8	1	sc
P3G11	8	1	sc
P3G12	8	1	sc
P3G2	8	1	sc
P3G3	8	1	sc
P3G4	8	1	sc
P3G5	8	1	sc
P3G6	8	1	sc
P3G7	8	1	sc
P3G8	8	1	sc
P3G9	8	1	sc
P3H1	8	1	sc
P3H10	8	1	sc
P3H11	8	1	sc
P3H12	8	1	sc
P3H2	8	1	sc
P3H3	8	1	sc
P3H4	8	1	sc
P3H5	8	1	sc
P3H6	8	1	sc
P3H7	8	1	sc
P3H8	8	1	sc
P3H9	8	1	sc
