"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000051249","ENSGALG00000051249",0,2,6,11,27,6,11,4
"ENSGALG00000049430","ENSGALG00000049430",27,17,54,22,143,21,39,25
"ENSGALG00000039999","ENSGALG00000039999",37,10,69,46,164,37,42,40
"ENSGALG00000007065","GJD4",6,2,7,9,39,17,9,14
"ENSGALG00000007076","CCNY",12,14,59,28,52,16,7,9
"ENSGALG00000007082","CREM",105,82,273,301,828,378,138,178
"ENSGALG00000007095","CUL2",804,710,2483,2654,4519,1858,745,512
"ENSGALG00000051541","ENSGALG00000051541",0,0,6,3,17,1,2,0
"ENSGALG00000007125","PARD3",411,360,1273,1234,2887,1330,746,618
"ENSGALG00000052446","ENSGALG00000052446",27,32,98,38,96,42,35,40
"ENSGALG00000047831","ENSGALG00000047831",8,12,40,18,72,32,23,27
"ENSGALG00000052963","ENSGALG00000052963",3,5,14,9,17,16,12,8
"ENSGALG00000051243","ENSGALG00000051243",4,1,5,0,18,3,12,5
"ENSGALG00000027421","RF02271_13",0,0,3,3,3,3,0,0
"ENSGALG00000007140","NRP1",489,330,1333,1281,2708,1063,410,544
"ENSGALG00000047326","ENSGALG00000047326",18,20,55,40,52,31,30,16
"ENSGALG00000007145","ITGB1",1751,1510,5606,4526,6874,2693,1554,1181
"ENSGALG00000007169","EPC1",162,140,495,471,918,323,159,126
"ENSGALG00000025176","gga-mir-1768",0,0,2,0,0,0,1,0
"ENSGALG00000051873","ENSGALG00000051873",5,6,18,5,26,8,7,6
"ENSGALG00000007215","KIF5B",373,302,981,677,1091,423,250,232
"ENSGALG00000007254","ARHGAP12",320,245,1300,1436,3377,1403,528,575
"ENSGALG00000007260","ZEB1",448,354,1223,1090,1718,906,399,445
"ENSGALG00000050129","ENSGALG00000050129",3,4,11,5,21,14,4,21
"ENSGALG00000048976","ENSGALG00000048976",0,0,0,0,0,0,0,0
"ENSGALG00000048340","ENSGALG00000048340",8,3,31,5,22,18,11,14
"ENSGALG00000052772","ENSGALG00000052772",7,1,5,6,4,4,1,2
"ENSGALG00000007266","ZNF438",133,129,297,450,946,263,88,133
"ENSGALG00000007331","SVIL",782,583,2190,2571,3990,1624,777,825
"ENSGALG00000051872","ENSGALG00000051872",1,4,5,7,42,4,9,6
"ENSGALG00000007346","JCAD",230,224,618,862,2922,1529,414,812
"ENSGALG00000007351","MTPAP",419,426,1480,1170,2291,828,399,244
"ENSGALG00000007356","MAP3K8",12,20,29,18,199,90,44,44
"ENSGALG00000052174","ENSGALG00000052174",3,3,33,16,31,30,9,9
"ENSGALG00000040993","BAMBI",232,185,467,436,1213,351,169,109
"ENSGALG00000035281","WAC",251,190,650,657,1082,447,228,141
"ENSGALG00000039186","ENSGALG00000039186",150,124,502,499,936,307,135,169
"ENSGALG00000052906","ENSGALG00000052906",2,2,0,2,15,5,5,6
"ENSGALG00000007408","MPP7",235,214,843,774,2359,921,418,500
"ENSGALG00000007417","ARMC4",65,83,232,258,272,97,36,45
"ENSGALG00000007426","MKX",1,2,11,6,43,15,9,6
"ENSGALG00000007435","RAB18",1724,1432,4776,5440,10559,4917,2185,2413
"ENSGALG00000053860","ENSGALG00000053860",9,11,21,15,41,20,11,35
"ENSGALG00000048869","ENSGALG00000048869",6,1,28,9,12,8,3,1
"ENSGALG00000050814","ENSGALG00000050814",5,2,20,6,29,14,12,1
"ENSGALG00000007492","YME1L1",1631,1476,4761,5848,11862,4989,1952,2365
"ENSGALG00000007507","MASTL",232,263,766,829,2012,748,380,307
"ENSGALG00000007519","ACBD5",172,136,358,470,929,433,234,182
"ENSGALG00000054462","ENSGALG00000054462",0,6,16,4,10,4,1,5
"ENSGALG00000007547","ABI1",305,232,936,748,1533,531,316,386
"ENSGALG00000007559","PDSS1",427,381,1484,1410,1979,810,509,204
"ENSGALG00000007564","ENSGALG00000007564",25,39,165,127,345,131,42,42
"ENSGALG00000007579","APBB1IP",77,63,348,253,397,126,90,81
"ENSGALG00000040436","GAD2",4,6,40,50,124,70,17,52
"ENSGALG00000007647","MYO3A",64,52,153,189,572,193,110,139
"ENSGALG00000007667","GPR158",13,8,40,24,56,29,19,31
"ENSGALG00000053155","ENSGALG00000053155",8,6,31,9,43,12,8,9
"ENSGALG00000007677","THNSL1",138,119,444,429,1006,362,125,152
"ENSGALG00000007680","ENKUR",77,71,202,185,299,89,91,71
"ENSGALG00000007694","PRTFDC1",129,73,241,319,630,290,126,133
"ENSGALG00000007721","ARHGAP21",209,190,606,483,750,383,126,158
"ENSGALG00000007766","KIAA1217",132,142,565,563,3255,1247,504,760
"ENSGALG00000053613","ENSGALG00000053613",5,6,5,7,38,12,7,21
"ENSGALG00000051600","ENSGALG00000051600",15,4,9,10,24,21,14,11
"ENSGALG00000026426","ENSGALG00000026426",18,19,48,45,144,55,17,9
"ENSGALG00000027144","PTF1A",0,1,5,0,14,4,0,2
"ENSGALG00000029426","ENSGALG00000029426",6,7,9,10,29,4,2,3
"ENSGALG00000007864","ARMC3",12,8,49,32,95,17,39,26
"ENSGALG00000054467","ENSGALG00000054467",2,0,5,9,14,3,0,1
"ENSGALG00000007877","PIP4K2A",320,281,1031,944,1063,497,306,231
"ENSGALG00000049482","ENSGALG00000049482",6,5,10,8,11,6,5,1
"ENSGALG00000045235","ENSGALG00000045235",13,1,19,28,35,15,9,7
"ENSGALG00000048279","ENSGALG00000048279",2,1,20,7,14,11,7,17
"ENSGALG00000007892","SPAG6",76,48,206,158,451,249,46,70
"ENSGALG00000048287","gga-mir-12240",0,0,2,0,2,2,0,0
"ENSGALG00000041267","BMI1",287,205,735,582,848,441,198,285
"ENSGALG00000007900","COMMD3",1284,1059,3836,3500,5822,2402,1336,549
"ENSGALG00000052904","ENSGALG00000052904",3,2,9,11,44,13,18,6
"ENSGALG00000007914","DNAJC1",532,475,1630,1344,2620,1184,537,679
"ENSGALG00000007928","MLLT10",476,448,1561,1062,2062,907,465,399
"ENSGALG00000017395","ENSGALG00000017395",118,129,286,184,363,85,88,52
"ENSGALG00000028621","RF00001_5",0,0,1,2,8,0,1,0
"ENSGALG00000053717","ENSGALG00000053717",5,5,11,5,8,10,7,4
"ENSGALG00000037769","NEBL",191,211,699,875,379,162,48,27
"ENSGALG00000031565","NEBL_1",57,46,207,81,233,70,22,26
"ENSGALG00000050136","ENSGALG00000050136",0,2,5,4,2,2,0,0
"ENSGALG00000007956","PLXDC2",137,98,473,443,986,462,156,201
"ENSGALG00000051791","ENSGALG00000051791",5,4,9,0,18,3,0,8
"ENSGALG00000008498","MALRD1",44,60,129,62,334,70,65,110
"ENSGALG00000048892","ENSGALG00000048892",6,0,5,1,7,5,3,4
"ENSGALG00000008557","ARL5B",1417,1182,3627,3393,6452,3091,1597,1546
"ENSGALG00000008564","NSUN6",41,49,102,190,366,153,104,113
"ENSGALG00000008591","CACNB2",43,20,79,63,246,72,58,76
"ENSGALG00000008602","SLC39A12",7,12,28,18,63,13,19,19
"ENSGALG00000053366","ENSGALG00000053366",9,2,13,12,22,4,10,9
"ENSGALG00000028357","MMR1L2",17,18,60,37,182,34,41,39
"ENSGALG00000027765","MMR1L1",11,6,28,10,46,30,27,32
"ENSGALG00000008638","MMR1L3",7,18,53,32,117,38,44,35
"ENSGALG00000028304","MMR1L4",12,8,50,18,73,19,22,14
"ENSGALG00000008629","MRC1",22,23,103,121,348,94,53,145
"ENSGALG00000035287","STAM",48,19,108,102,168,91,49,36
"ENSGALG00000055020","ENSGALG00000055020",4,0,11,5,6,4,4,0
"ENSGALG00000008659","HACD1",52,62,165,181,434,145,65,86
"ENSGALG00000008677","VIM",7988,6470,23235,21081,44681,23491,10847,9839
"ENSGALG00000008671","ST8SIA6",40,22,81,96,217,131,53,68
"ENSGALG00000025240","gga-mir-1661",2,0,31,8,10,16,0,2
"ENSGALG00000008686","TRDMT1",317,252,1056,786,1863,857,444,511
"ENSGALG00000008704","CUBN",61,44,175,162,362,155,122,118
"ENSGALG00000040891","RSU1",718,663,2269,2495,4317,1692,876,978
"ENSGALG00000032554","C1QL3",12,17,31,40,39,25,7,18
"ENSGALG00000008728","PTER",163,155,567,510,1401,558,386,285
"ENSGALG00000049033","ENSGALG00000049033",3,3,9,8,39,11,9,2
"ENSGALG00000008739","MINDY3",446,309,842,933,2066,909,389,432
"ENSGALG00000008747","ITGA8",180,193,736,531,1355,618,223,177
"ENSGALG00000047520","ENSGALG00000047520",4,1,9,0,18,3,5,4
"ENSGALG00000052774","ENSGALG00000052774",2,3,13,8,32,10,5,8
"ENSGALG00000008764","FAM171A1",264,241,679,870,1839,897,292,340
"ENSGALG00000008791","NMT2",352,343,1131,973,1604,690,308,369
"ENSGALG00000008794","RPP38",154,136,524,536,1058,400,173,209
"ENSGALG00000019663","ACBD7",361,317,1197,837,616,190,147,83
"ENSGALG00000043833","OLAH",26,19,89,23,81,16,18,12
"ENSGALG00000008813","CROT",808,682,2511,2763,5440,2304,983,1056
"ENSGALG00000008912","ABCB1",19,17,66,41,128,28,17,44
"ENSGALG00000053916","ABCB1_1",23,30,110,49,227,40,53,48
"ENSGALG00000008954","RUNDC3B",25,23,81,88,206,62,53,50
"ENSGALG00000019662","SLC25A40",9,8,35,28,84,19,9,37
"ENSGALG00000008963","DBF4",537,503,2104,1978,3493,1427,810,605
"ENSGALG00000008976","ADAM22",24,35,91,52,139,64,30,44
"ENSGALG00000008985","SRI",725,575,2192,2156,4602,1961,1087,1026
"ENSGALG00000008997","STEAP4",3,3,16,15,37,38,11,10
"ENSGALG00000009004","ZNF804B",16,23,79,43,43,52,20,14
"ENSGALG00000047295","ENSGALG00000047295",1,1,6,1,14,2,3,4
"ENSGALG00000028860","RF02271_14",3,3,2,3,3,3,2,0
"ENSGALG00000052325","ENSGALG00000052325",15,14,55,21,52,15,17,19
"ENSGALG00000048903","ENSGALG00000048903",1,2,8,2,7,0,5,5
"ENSGALG00000009006","ENSGALG00000009006",12,20,62,53,119,70,32,62
"ENSGALG00000009017","STEAP2",25,19,75,63,119,81,18,36
"ENSGALG00000009026","CFAP69",38,47,171,154,435,158,59,74
"ENSGALG00000032592","FAM237B",5,0,9,12,66,22,18,13
"ENSGALG00000009035","GTPBP10",738,629,2199,2228,4206,1893,914,839
"ENSGALG00000054178","CLDN12",556,425,1566,2080,4551,2106,917,973
"ENSGALG00000053519","ENSGALG00000053519",11,11,36,23,71,18,15,25
"ENSGALG00000009044","ENSGALG00000009044",937,694,2506,2741,5720,2776,1420,1556
"ENSGALG00000050087","ENSGALG00000050087",6,2,12,7,18,11,8,1
"ENSGALG00000009062","CDK14",127,106,338,283,445,195,128,70
"ENSGALG00000009064","FZD1",174,173,559,379,827,330,128,105
"ENSGALG00000053445","ENSGALG00000053445",9,1,8,12,39,10,18,8
"ENSGALG00000040724","AKAP9",1708,1561,4360,2914,6462,2706,1553,2047
"ENSGALG00000009365","CYP51A1",1087,865,3162,3808,8966,3841,1341,1469
"ENSGALG00000048461","ENSGALG00000048461",6,8,35,23,54,35,10,18
"ENSGALG00000042651","KRIT1",279,214,668,686,1606,583,387,463
"ENSGALG00000031917","ANKIB1",159,98,409,436,724,293,181,93
"ENSGALG00000009399","GATAD1",177,152,653,595,939,378,131,94
"ENSGALG00000035761","ENSGALG00000035761",17,16,69,39,118,25,8,5
"ENSGALG00000009410","PEX1",82,136,315,214,548,134,74,106
"ENSGALG00000009467","RBM48",91,85,390,348,554,226,90,63
"ENSGALG00000009473","EFCAB1",25,35,98,128,147,46,29,3
"ENSGALG00000009475","FAM133B",545,443,1410,1071,1748,573,474,354
"ENSGALG00000009476","CDK6",1179,854,2836,2198,5051,1998,1090,1015
"ENSGALG00000025191","gga-mir-1650",0,0,0,0,0,0,0,0
"ENSGALG00000053136","ENSGALG00000053136",2,4,7,5,21,1,5,6
"ENSGALG00000009479","ENSGALG00000009479",8,11,48,15,77,2,13,6
"ENSGALG00000009482","HEPACAM2",8,7,13,6,35,4,0,6
"ENSGALG00000009500","VPS50",371,399,1319,1551,4474,2160,872,1204
"ENSGALG00000009509","CALCR",5,7,17,9,33,13,14,7
"ENSGALG00000021723","MIR489",0,0,0,0,0,0,0,3
"ENSGALG00000050418","ENSGALG00000050418",3,5,15,24,35,13,6,12
"ENSGALG00000009512","TFPI2",45,34,107,200,436,161,118,233
"ENSGALG00000035994","ENSGALG00000035994",56,45,113,98,233,81,82,78
"ENSGALG00000024485","BET1",289,252,779,747,1815,786,538,567
"ENSGALG00000048366","ENSGALG00000048366",5,0,2,6,12,4,5,2
"ENSGALG00000053913","ENSGALG00000053913",2,5,9,2,6,8,1,1
"ENSGALG00000047737","ENSGALG00000047737",4,14,10,21,78,24,7,16
"ENSGALG00000009641","COL1A2",4328,3664,15510,15689,31042,15860,4390,5044
"ENSGALG00000009653","CASD1",240,181,576,664,1346,577,334,331
"ENSGALG00000009670","SGCE",77,55,190,129,186,97,27,37
"ENSGALG00000009686","PPP1R9A",21,26,116,78,300,86,57,80
"ENSGALG00000009689","PON2",41,29,72,112,182,97,27,81
"ENSGALG00000009691","ASB4",8,0,10,11,19,14,3,8
"ENSGALG00000026123","gga-mir-6601",0,4,2,2,2,0,6,1
"ENSGALG00000009700","PDK4",134,131,382,505,720,282,171,114
"ENSGALG00000009722","DYNC1I1",244,189,642,836,1152,649,259,207
"ENSGALG00000009728","SLC25A13",822,694,2559,2763,5111,2023,1057,931
"ENSGALG00000009733","SEM1",2397,2006,6151,5286,8800,2794,2696,2488
"ENSGALG00000052254","ENSGALG00000052254",7,1,0,0,2,8,2,3
"ENSGALG00000050130","ENSGALG00000050130",2,2,11,2,12,3,8,3
"ENSGALG00000053967","ENSGALG00000053967",0,0,1,3,4,4,2,0
"ENSGALG00000023195","DLX6",11,2,33,15,48,19,7,19
"ENSGALG00000009129","DLX5",1203,858,3224,2324,2662,1020,807,460
"ENSGALG00000049454","ENSGALG00000049454",1,11,31,7,25,9,12,17
"ENSGALG00000027620","ENSGALG00000027620",151,107,461,363,520,222,114,104
"ENSGALG00000009737","TAC1",7,4,16,11,41,18,2,16
"ENSGALG00000009748","ASNS",1812,1556,4679,4805,12843,5886,3446,4976
"ENSGALG00000009752","C1GALT1",565,549,1967,2198,3215,1175,497,495
"ENSGALG00000010259","COL28A1",14,27,99,37,198,55,60,68
"ENSGALG00000010699","MIOS",217,209,753,943,2503,880,367,521
"ENSGALG00000025450","gga-mir-1685",0,1,6,3,16,5,5,5
"ENSGALG00000010700","RPA3",1178,979,3178,3045,4544,1813,1169,978
"ENSGALG00000023189","UMAD1",360,273,927,991,2582,956,496,490
"ENSGALG00000035239","GLCCI1",371,340,1046,618,895,382,252,323
"ENSGALG00000010708","ICA1",141,96,442,349,1289,486,298,302
"ENSGALG00000050880","ENSGALG00000050880",3,0,27,3,13,9,0,8
"ENSGALG00000010711","NXPH1",23,13,41,31,65,23,9,28
"ENSGALG00000050930","ENSGALG00000050930",7,4,14,8,21,12,12,10
"ENSGALG00000054716","ENSGALG00000054716",1,3,10,12,12,4,9,1
"ENSGALG00000050841","ENSGALG00000050841",10,12,32,14,92,28,13,24
"ENSGALG00000053164","ENSGALG00000053164",1,0,9,7,17,12,6,7
"ENSGALG00000043637","ENSGALG00000043637",6,3,26,9,37,7,7,19
"ENSGALG00000049104","ENSGALG00000049104",1,5,30,7,47,6,16,8
"ENSGALG00000025999","NDUFA4",2909,2670,8630,7349,13697,4287,3429,2904
"ENSGALG00000038041","PHF14",733,719,2146,1981,3380,1196,792,791
"ENSGALG00000051980","ENSGALG00000051980",30,30,76,53,316,153,106,79
"ENSGALG00000010718","ENSGALG00000010718",121,96,411,464,1437,790,392,451
"ENSGALG00000035140","TMEM106B",306,228,967,1205,3051,1493,745,797
"ENSGALG00000046693","ENSGALG00000046693",10,8,57,82,347,137,89,124
"ENSGALG00000010722","ENSGALG00000010722",99,125,271,379,435,174,91,70
"ENSGALG00000042443","ENSGALG00000042443",96,80,263,392,2369,1081,416,796
"ENSGALG00000049453","ENSGALG00000049453",3,6,21,3,32,9,9,16
"ENSGALG00000010770","SCIN",54,32,259,293,1710,732,371,277
"ENSGALG00000027757","ARL4A",523,505,1734,1453,1949,855,464,369
"ENSGALG00000050874","ENSGALG00000050874",38,44,108,45,208,44,48,27
"ENSGALG00000052129","ENSGALG00000052129",11,3,9,4,30,9,4,5
"ENSGALG00000035504","ETV1",473,442,1448,1561,3732,1714,726,617
"ENSGALG00000033561","DGKB",83,97,219,130,447,166,78,108
"ENSGALG00000053853","ENSGALG00000053853",3,4,32,7,97,9,9,27
"ENSGALG00000051512","ENSGALG00000051512",2,6,11,6,57,6,4,8
"ENSGALG00000010792","AGMO",16,15,30,27,97,30,21,30
"ENSGALG00000010794","MEOX2",14,15,56,109,112,80,10,13
"ENSGALG00000054958","ENSGALG00000054958",2,6,11,7,32,9,4,9
"ENSGALG00000027900","RF00001_6",0,0,1,1,0,0,1,0
"ENSGALG00000010795","CRPPA",50,51,170,181,332,106,57,47
"ENSGALG00000010803","ENSGALG00000010803",7,7,18,19,36,7,2,17
"ENSGALG00000036836","SOSTDC1",61,44,185,151,1487,556,276,387
"ENSGALG00000010804","ANKMY2",497,390,1545,1737,3346,1526,763,703
"ENSGALG00000010809","BZW2",3164,2598,9246,9373,20122,8206,4334,3927
"ENSGALG00000027240","TSPAN13",567,394,1494,1436,12186,3682,2037,2222
"ENSGALG00000010825","AGR2",34,44,131,203,2455,996,753,1382
"ENSGALG00000048032","ENSGALG00000048032",12,15,99,16,48,17,18,11
"ENSGALG00000019651","AGR3",20,23,142,41,57,26,25,22
"ENSGALG00000053932","ENSGALG00000053932",4,5,8,10,40,5,9,16
"ENSGALG00000051632","ENSGALG00000051632",1,4,12,16,51,11,8,11
"ENSGALG00000051039","ENSGALG00000051039",5,5,20,15,61,20,20,8
"ENSGALG00000010836","AHR",96,75,314,222,411,172,82,139
"ENSGALG00000053570","ENSGALG00000053570",2,13,17,12,24,6,17,10
"ENSGALG00000010840","SNX13",62,73,172,162,381,152,62,59
"ENSGALG00000047173","ENSGALG00000047173",6,8,15,5,61,17,11,6
"ENSGALG00000010854","ENSGALG00000010854",130,135,362,405,1145,436,243,179
"ENSGALG00000049403","ENSGALG00000049403",9,3,20,4,36,6,10,7
"ENSGALG00000049804","ENSGALG00000049804",7,9,9,7,9,4,4,5
"ENSGALG00000054680","ENSGALG00000054680",43,85,179,215,478,191,48,55
"ENSGALG00000051476","ENSGALG00000051476",15,12,32,20,97,24,25,18
"ENSGALG00000041640","TWIST1",364,336,650,441,363,215,138,75
"ENSGALG00000010862","FERD3L",3,0,1,1,17,2,3,4
"ENSGALG00000010863","TWISTNB",666,621,2075,1875,2700,1047,622,529
"ENSGALG00000050357","ENSGALG00000050357",4,0,10,7,14,2,5,10
"ENSGALG00000052690","ENSGALG00000052690",7,4,19,1,32,12,5,9
"ENSGALG00000010865","TMEM196",11,4,29,7,41,15,16,1
"ENSGALG00000051613","ENSGALG00000051613",4,4,29,9,46,13,12,37
"ENSGALG00000010868","MACC1",22,26,87,67,628,237,158,194
"ENSGALG00000010875","ITGB8",15,24,73,51,146,47,23,36
"ENSGALG00000010901","ENSGALG00000010901",17,13,49,35,130,57,17,14
"ENSGALG00000052719","ENSGALG00000052719",5,3,23,13,12,8,2,7
"ENSGALG00000035725","SP8",19,12,53,51,75,27,6,24
"ENSGALG00000050632","ENSGALG00000050632",6,9,6,14,31,19,11,12
"ENSGALG00000039454","SP4",176,151,378,484,1151,484,208,161
"ENSGALG00000046860","ENSGALG00000046860",21,16,23,21,37,7,8,16
"ENSGALG00000050340","ENSGALG00000050340",6,16,9,16,40,18,10,9
"ENSGALG00000025582","RF00020",0,0,0,1,1,0,1,0
"ENSGALG00000035978","CDCA7L",602,432,1424,952,1615,565,475,416
"ENSGALG00000034024","RAPGEF5",28,31,143,202,343,159,73,74
"ENSGALG00000051353","ENSGALG00000051353",2,4,6,5,17,2,11,8
"ENSGALG00000047057","ENSGALG00000047057",6,4,5,11,10,13,13,2
"ENSGALG00000052589","ENSGALG00000052589",8,2,35,3,10,7,0,11
"ENSGALG00000010915","IL6",1,2,5,5,7,7,0,0
"ENSGALG00000029856","TOMM7",1225,832,3037,2837,4721,1462,1317,965
"ENSGALG00000025204","RF00606",4,2,13,5,17,0,1,3
"ENSGALG00000010925","FAM126A",710,604,2064,2287,2096,1103,440,286
"ENSGALG00000054972","ENSGALG00000054972",9,0,10,3,8,3,8,8
"ENSGALG00000049224","ENSGALG00000049224",10,8,14,11,43,10,7,1
"ENSGALG00000010938","KLHL7",260,199,934,816,1077,400,220,134
"ENSGALG00000010942","NUPL2",298,252,923,929,2393,1100,422,697
"ENSGALG00000043896","ENSGALG00000043896",1,0,5,0,6,4,2,2
"ENSGALG00000046303","ENSGALG00000046303",0,0,0,0,0,0,0,0
"ENSGALG00000049742","ENSGALG00000049742",0,0,0,0,0,0,0,0
"ENSGALG00000054996","ENSGALG00000054996",0,0,0,0,0,0,0,0
"ENSGALG00000053754","ENSGALG00000053754",0,0,0,0,0,0,0,0
"ENSGALG00000048298","ENSGALG00000048298",0,0,0,0,1,0,0,0
"ENSGALG00000049877","ENSGALG00000049877",0,0,0,0,0,0,0,0
"ENSGALG00000048251","ENSGALG00000048251",0,0,0,0,0,0,0,0
"ENSGALG00000010949","GPNMB",7,3,25,22,89,14,28,7
"ENSGALG00000010954","MALSU1",239,251,990,791,1051,340,195,144
"ENSGALG00000010961","IGF2BP3",7987,6655,24180,21765,40114,16731,8242,8897
"ENSGALG00000010973","TRA2A",2359,1890,6453,6195,9946,4224,2519,2181
"ENSGALG00000010976","CCDC126",408,414,1139,1200,2363,1033,522,455
"ENSGALG00000010977","FAM221A",28,19,42,24,66,15,23,19
"ENSGALG00000010980","STK31",23,22,65,27,122,43,33,31
"ENSGALG00000010983","NPY",73,34,199,116,750,304,175,249
"ENSGALG00000053015","ENSGALG00000053015",1,5,10,3,28,16,6,4
"ENSGALG00000048952","ENSGALG00000048952",1,2,13,1,8,1,3,3
"ENSGALG00000010988","MPP6",184,130,478,325,465,174,88,122
"ENSGALG00000010997","GSDME",355,239,1028,1288,1895,866,367,237
"ENSGALG00000011007","OSBPL3",58,76,245,308,1082,437,202,235
"ENSGALG00000011020","CYCS",4486,3726,12831,12906,20989,7084,5111,4491
"ENSGALG00000011021","ENSGALG00000011021",2,2,11,10,22,14,6,0
"ENSGALG00000011022","NPVF",5,1,13,8,11,1,12,5
"ENSGALG00000053364","ENSGALG00000053364",8,12,20,24,61,36,8,22
"ENSGALG00000047547","ENSGALG00000047547",18,6,48,22,83,40,16,40
"ENSGALG00000018281","gga-mir-148a",0,1,1,0,7,1,0,1
"ENSGALG00000011036","HNRNPA2B1",9397,8562,30576,26239,45086,18972,10231,9997
"ENSGALG00000011038","CBX3",4353,3631,10825,11020,20961,8579,5083,5199
"ENSGALG00000011046","SNX10",92,64,314,299,552,239,119,110
"ENSGALG00000047686","ENSGALG00000047686",5,5,36,28,52,22,12,7
"ENSGALG00000030081","SKAP2",427,345,1211,1058,2951,1198,688,558
"ENSGALG00000053614","ENSGALG00000053614",1,7,23,16,26,13,21,15
"ENSGALG00000028095","HOXA1",42,39,175,152,345,151,60,47
"ENSGALG00000026247","RF01976",6,1,10,7,26,4,3,4
"ENSGALG00000040521","HOXA2",257,199,798,536,704,273,147,187
"ENSGALG00000027925","HOXA3",510,467,1299,1410,3265,1456,752,799
"ENSGALG00000022622","HOXA4",11,6,49,33,213,41,27,41
"ENSGALG00000025929","HOXA5",15,4,38,14,224,72,55,65
"ENSGALG00000028908","HOXA6",3,0,7,2,24,8,6,16
"ENSGALG00000026989","HOXA7",1,1,3,1,32,4,2,10
"ENSGALG00000028983","HOXA9",0,1,0,2,15,7,7,7
"ENSGALG00000029104","gga-mir-1732-1",1,0,3,2,3,5,3,0
"ENSGALG00000028059","gga-mir-196-2",2,0,0,0,3,0,0,0
"ENSGALG00000026631","HOXA10",2,0,6,1,11,3,2,2
"ENSGALG00000040021","HOXA11",0,0,3,0,9,2,2,2
"ENSGALG00000027148","RF02138",0,0,1,1,0,0,0,0
"ENSGALG00000028875","RF02140",0,0,0,1,0,2,0,0
"ENSGALG00000026579","RF02141",0,0,0,0,1,2,0,0
"ENSGALG00000027234","HOXA13",1,0,4,7,15,0,3,7
"ENSGALG00000027763","RF02041",0,0,2,0,1,0,0,0
"ENSGALG00000049493","ENSGALG00000049493",1,0,3,0,10,4,1,1
"ENSGALG00000037310","EVX1",6,0,4,7,9,1,2,6
"ENSGALG00000049019","ENSGALG00000049019",2,3,29,11,17,10,6,2
"ENSGALG00000033207","HIBADH",444,458,1522,1445,2660,1049,547,708
"ENSGALG00000042822","TAX1BP1",1145,1025,3253,3388,6231,2709,1548,1728
"ENSGALG00000030455","JAZF1",71,77,283,252,350,244,116,130
"ENSGALG00000052473","ENSGALG00000052473",5,5,8,3,41,7,9,14
"ENSGALG00000038265","CREB5",73,52,236,142,293,136,67,62
"ENSGALG00000054755","ENSGALG00000054755",11,7,42,20,15,10,5,8
"ENSGALG00000011145","TRIL",218,193,1222,1012,778,259,121,37
"ENSGALG00000011164","ENSGALG00000011164",79,85,200,225,537,246,79,139
"ENSGALG00000011170","WIPF3",24,39,83,73,502,229,128,100
"ENSGALG00000011176","SCRN1",278,249,846,849,2884,1304,547,733
"ENSGALG00000011181","FKBP14",62,46,159,135,245,123,51,137
"ENSGALG00000011185","PLEKHA8",66,45,145,105,268,109,39,51
"ENSGALG00000011202","COLQ",5,12,55,30,106,66,55,30
"ENSGALG00000054805","ENSGALG00000054805",3,0,6,1,11,4,6,5
"ENSGALG00000049570","ENSGALG00000049570",3,1,31,17,39,31,20,26
"ENSGALG00000011211","HACL1",234,169,665,668,1080,395,234,214
"ENSGALG00000011216","BTD",90,54,208,173,446,181,107,166
"ENSGALG00000011226","ANKRD28",242,191,793,784,1659,650,378,299
"ENSGALG00000011235","GALNT15",35,20,127,62,119,48,23,41
"ENSGALG00000050604","ENSGALG00000050604",41,53,136,67,99,56,61,12
"ENSGALG00000011237","DPH3P1",311,346,1105,1008,1284,556,295,281
"ENSGALG00000011239","OXNAD1",244,168,645,638,1209,600,269,277
"ENSGALG00000011241","RFTN1",60,58,148,87,306,109,61,49
"ENSGALG00000011243","DAZL",7,15,28,33,54,17,11,4
"ENSGALG00000048739","ENSGALG00000048739",14,4,16,7,56,19,27,18
"ENSGALG00000051079","ENSGALG00000051079",0,2,9,0,12,5,3,0
"ENSGALG00000011248","PLCL2",52,54,180,108,245,59,71,50
"ENSGALG00000053190","ENSGALG00000053190",2,7,22,5,35,10,9,11
"ENSGALG00000011251","TBC1D5",131,109,370,281,593,230,105,129
"ENSGALG00000049064","ENSGALG00000049064",6,7,11,16,25,14,15,10
"ENSGALG00000034267","ENSGALG00000034267",4,6,3,13,30,3,6,9
"ENSGALG00000011254","SATB1",235,264,590,600,2093,862,481,510
"ENSGALG00000049978","ENSGALG00000049978",20,19,69,35,117,42,15,51
"ENSGALG00000048994","ENSGALG00000048994",8,4,20,10,47,5,6,8
"ENSGALG00000049904","ENSGALG00000049904",0,0,7,2,22,1,1,4
"ENSGALG00000011262","KCNH8",26,18,54,40,90,17,24,39
"ENSGALG00000048569","ENSGALG00000048569",2,5,9,2,25,9,0,8
"ENSGALG00000011267","ENSGALG00000011267",3,0,3,2,1,3,7,0
"ENSGALG00000011272","RAB5A",1339,1159,3842,4013,7113,2887,1615,1481
"ENSGALG00000044362","PP2D1",9,24,35,24,58,14,13,15
"ENSGALG00000011278","KAT2B",39,21,99,87,149,56,39,68
"ENSGALG00000011281","SGO1",426,359,1457,1671,2690,1142,565,446
