"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000051231","ENSGALG00000051231",2,1,9,5,8,15,8,3
"ENSGALG00000054739","ENSGALG00000054739",0,0,0,0,0,0,0,0
"ENSGALG00000053264","ENSGALG00000053264",0,0,0,0,0,0,0,0
"ENSGALG00000049959","ENSGALG00000049959",5,2,7,8,4,9,7,6
"ENSGALG00000043056","ENSGALG00000043056",5,3,11,6,16,10,10,0
"ENSGALG00000051463","ENSGALG00000051463",1,3,4,4,17,8,5,1
"ENSGALG00000036107","ENSGALG00000036107",2,2,1,2,8,3,1,2
"ENSGALG00000050040","ENSGALG00000050040",2,2,9,2,7,1,5,0
"ENSGALG00000053629","ENSGALG00000053629",2,2,8,2,6,2,7,5
"ENSGALG00000048606","ENSGALG00000048606",2,0,2,2,6,2,3,6
"ENSGALG00000054193","ENSGALG00000054193",5,1,3,1,23,6,4,6
"ENSGALG00000012505","LRFN5",25,9,92,45,53,23,29,27
"ENSGALG00000053186","ENSGALG00000053186",0,1,8,3,16,11,1,1
"ENSGALG00000050191","ENSGALG00000050191",0,0,1,3,0,0,0,0
"ENSGALG00000049494","ENSGALG00000049494",11,2,12,14,13,25,7,20
"ENSGALG00000037778","NAB1",52,36,125,164,168,109,51,42
"ENSGALG00000049945","ENSGALG00000049945",14,4,18,20,34,21,14,26
"ENSGALG00000040817","NEMP2",423,393,1506,1774,2700,1099,399,311
"ENSGALG00000041884","MFSD6",35,33,77,103,363,194,39,115
"ENSGALG00000053979","ENSGALG00000053979",4,12,34,22,42,12,18,9
"ENSGALG00000043307","HIBCH",860,740,2794,2938,5280,2267,1055,1016
"ENSGALG00000033017","C2orf88",1,5,18,33,123,56,16,20
"ENSGALG00000039458","GDF8",2,10,30,28,75,23,13,21
"ENSGALG00000034011","PMS1",245,263,767,807,1559,732,385,306
"ENSGALG00000036257","ORMDL1",104,88,306,289,517,221,120,217
