	timepoint	replicate_id	treatment
P3A11	ss8	1	sc
P3A12	ss8	1	sc
P3A2	ss8	1	sc
P3A3	ss8	1	sc
P3A4	ss8	1	sc
P3A5	ss8	1	sc
P3A6	ss8	1	sc
P3A7	ss8	1	sc
P3A8	ss8	1	sc
P3A9	ss8	1	sc
P3B1	ss8	1	sc
P3B10	ss8	1	sc
P3B11	ss8	1	sc
P3B12	ss8	1	sc
P3B2	ss8	1	sc
P3B3	ss8	1	sc
P3B4	ss8	1	sc
P3B5	ss8	1	sc
P3B6	ss8	1	sc
P3B7	ss8	1	sc
P3B8	ss8	1	sc
P3B9	ss8	1	sc
P3C1	ss8	1	sc
P3C10	ss8	1	sc
P3C11	ss8	1	sc
P3C12	ss8	1	sc
P3C2	ss8	1	sc
P3C3	ss8	1	sc
P3C4	ss8	1	sc
P3C5	ss8	1	sc
P3C6	ss8	1	sc
P3C7	ss8	1	sc
P3C8	ss8	1	sc
P3C9	ss8	1	sc
P3D1	ss8	1	sc
P3D10	ss8	1	sc
P3D11	ss8	1	sc
P3D12	ss8	1	sc
P3D2	ss8	1	sc
P3D3	ss8	1	sc
P3D4	ss8	1	sc
P3D5	ss8	1	sc
P3D6	ss8	1	sc
P3D7	ss8	1	sc
P3D8	ss8	1	sc
P3D9	ss8	1	sc
P3E1	ss8	1	sc
P3E10	ss8	1	sc
P3E11	ss8	1	sc
P3E12	ss8	1	sc
P3E2	ss8	1	sc
P3E3	ss8	1	sc
P3E4	ss8	1	sc
P3E5	ss8	1	sc
P3E6	ss8	1	sc
P3E7	ss8	1	sc
P3E8	ss8	1	sc
P3E9	ss8	1	sc
P3F1	ss8	1	sc
P3F10	ss8	1	sc
P3F11	ss8	1	sc
P3F12	ss8	1	sc
P3F2	ss8	1	sc
P3F3	ss8	1	sc
P3F4	ss8	1	sc
P3F5	ss8	1	sc
P3F6	ss8	1	sc
P3F7	ss8	1	sc
P3F8	ss8	1	sc
P3F9	ss8	1	sc
P3G1	ss8	1	sc
P3G10	ss8	1	sc
P3G11	ss8	1	sc
P3G12	ss8	1	sc
P3G2	ss8	1	sc
P3G3	ss8	1	sc
P3G4	ss8	1	sc
P3G5	ss8	1	sc
P3G6	ss8	1	sc
P3G7	ss8	1	sc
P3G8	ss8	1	sc
P3G9	ss8	1	sc
P3H1	ss8	1	sc
P3H10	ss8	1	sc
P3H11	ss8	1	sc
P3H12	ss8	1	sc
P3H2	ss8	1	sc
P3H3	ss8	1	sc
P3H4	ss8	1	sc
P3H5	ss8	1	sc
P3H6	ss8	1	sc
P3H7	ss8	1	sc
P3H8	ss8	1	sc
P3H9	ss8	1	sc
